Table S1. Sample information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,original_sample_description,APC (cfu/g),Post-Enrichment APC (CFU/mL),ESBL Count (CFU/mL),MAC (CFU/mL),CTX-M ARG (WGS-confirmed),NDM ARG (WGS-confirmed),SHV ARG (WGS-confirmed),TEM ARG (WGS-confirmed),gDNA (ng/uL),CTX-M_qPCR _normalized_25ng,CTX-M_qPCR_normalized_CT_value,CTX-M_qPCR_non-normalized,CTX-M_qPCR_non-normalized_CT_value,NDM_qPCR,NDM_qPCR_CT_value,sample_collected_by,sample_collected_by_laboratory_name,sample_collection_project_name ,sample_plan_name,sample_plan_ID,sample_collector_contact_name,sample_collector_contact_email,purpose_of_sampling,specimen_processing,geo_loc_name (country),geo_loc_name (state/province/region),sample_collection_date,sample_collection_date_precision,sample_received date,environmental_site,available_data_types,available_data_types_details,food_product,food_product_properties,sample_storage_method,food_packaging,food_quality_date,Preparation Instructions,RTE eat?,Collection date (YYYY-MM-DD),16S-SEQID,16S comments
CFIA-AMR-2022-0001,Frozen Peaches,4,,5,102,,,,,169.69,NEG,ND,NEG,ND,NEG,ND,Canadian Food Inspection Agency (CFIA) [GENEPIO:0100552],Ottawa Laboratory (Carling)_R&D,GRDIAMR2_WP4.2,WP4.2_ Frozen stone fruit,WP4.2_2023,Catherine Carrillo,Catherine.Carrillo@inspection.gc.ca,Survey study [GENEPIO:0100582],Isolated from single source [GENEPIO:0100926],Canada [GAZ:00002560],      Ontario [GAZ:00002563],8/10/2022,day [UO:0000033],8/10/2022,Retail environment [ENVO:01001448],Microbiological characterization [GENEPIO:0100714]; Metagenomic sequencing [GENEPIO:0101024]; Colony count [GENEPIO:0100728],,,,Frozen at -20 degrees celsius,"Plastic bag, sack or pouch [FOODON:03490166]",6/22/2024,Thaw before serving + do not refreeze,RTE,6/5/2023,2024-16S-0339,
CFIA-AMR-2022-0002,Frozen Mango,0,,5,7,,,,,159.57,NEG,ND,NEG,ND,NEG,ND,Canadian Food Inspection Agency (CFIA) [GENEPIO:0100552],Ottawa Laboratory (Carling)_R&D,GRDIAMR2_WP4.2,WP4.2_ Frozen stone fruit,WP4.2_2024,Catherine Carrillo,Catherine.Carrillo@inspection.gc.ca,Survey study [GENEPIO:0100582],Isolated from single source [GENEPIO:0100926],Canada [GAZ:00002560],      Ontario [GAZ:00002563],8/10/2022,day [UO:0000033],8/10/2022,Retail environment [ENVO:01001448],Microbiological characterization [GENEPIO:0100714]; Metagenomic sequencing [GENEPIO:0101024]; Colony count [GENEPIO:0100728],,,,Frozen at -20 degrees celsius,"Plastic bag, sack or pouch [FOODON:03490166]",6/16/2024,Thaw before serving + do not refreeze,RTE,8/10/2022,2024-16S-0334,
CFIA-AMR-2022-0003,Frozen Avocado,0,,0,0,,,,,116.08,NEG,ND,NEG,ND,NEG,ND,Canadian Food Inspection Agency (CFIA) [GENEPIO:0100552],Ottawa Laboratory (Carling)_R&D,GRDIAMR2_WP4.2,WP4.2_ Frozen stone fruit,WP4.2_2025,Catherine Carrillo,Catherine.Carrillo@inspection.gc.ca,Survey study [GENEPIO:0100582],Isolated from single source [GENEPIO:0100926],Canada [GAZ:00002560],      Ontario [GAZ:00002563],8/10/2022,day [UO:0000033],8/10/2022,Retail environment [ENVO:01001448],Microbiological characterization [GENEPIO:0100714]; Metagenomic sequencing [GENEPIO:0101024]; Colony count [GENEPIO:0100728],,Avocado [FOODON:00003600],Ready-to-eat (RTE) [FOODON:03316636];sliced [FOODON:03430137];frozen [FOODON:03302148],Frozen at -20 degrees celsius,"Plastic bag, sack or pouch [FOODON:03490166]",12/16/2023,Thaw before serving + do not refreeze,RTE,8/10/2022,2024-16S-0200,
CFIA-AMR-2022-0004,Frozen coconut-chunks,8,,1300000,3300000,CTX-M-213,,blaSHV-187,,160.50,TRUE_POS,17.70,TRUE_POS,13.95,NEG,ND,Canadian Food Inspection Agency (CFIA) [GENEPIO:0100552],Ottawa Laboratory (Carling)_R&D,GRDIAMR2_WP4.2,WP4.2_ Frozen stone fruit,WP4.2_2026,Catherine Carrillo,Catherine.Carrillo@inspection.gc.ca,Survey study [GENEPIO:0100582],Isolated from single source [GENEPIO:0100926],Canada [GAZ:00002560],      Ontario [GAZ:00002563],12/8/2022,day [UO:0000033],12/8/2022,Retail environment [ENVO:01001448],Microbiological characterization [GENEPIO:0100714]; Metagenomic sequencing [GENEPIO:0101024]; Colony count [GENEPIO:0100728],,coconut meat (frozen) [FOODON_00003857],Ready-to-eat (RTE) [FOODON:03316636];sliced [FOODON:03430137];frozen [FOODON:03302148],Frozen at -20 degrees celsius,"Plastic bag, sack or pouch [FOODON:03490166]",10/17/2024,Thaw in refrigerator for 4-6 hours + defrost in microwave for 30 sec,RTE,6/12/2023,2024-16S-0356,
CFIA-AMR-2022-0005,Frozen Mango,660,,5640,1440,,,,,152.78,POS,15.81,POS,27.33,NEG,ND,Canadian Food Inspection Agency (CFIA) [GENEPIO:0100552],Ottawa Laboratory (Carling)_R&D,GRDIAMR2_WP4.2,WP4.2_ Frozen stone fruit,WP4.2_2027,Catherine Carrillo,Catherine.Carrillo@inspection.gc.ca,Survey study [GENEPIO:0100582],Isolated from single source [GENEPIO:0100926],Canada [GAZ:00002560],      Ontario [GAZ:00002563],11/29/2022,day [UO:0000033],11/29/2022,Retail environment [ENVO:01001448],Microbiological characterization [GENEPIO:0100714]; Metagenomic sequencing [GENEPIO:0101024]; Colony count [GENEPIO:0100728],,,,Frozen at -20 degrees celsius,"Plastic bag, sack or pouch [FOODON:03490166]",1/10/2024,Thaw before serving + do not refreeze,RTE,9/12/2023,2024-16S-0253,
CFIA-AMR-2022-0006,Frozen Peaches,190,,ND,ND,,,,,159.61,NEG,ND,NEG,ND,NEG,ND,Canadian Food Inspection Agency (CFIA) [GENEPIO:0100552],Ottawa Laboratory (Carling)_R&D,GRDIAMR2_WP4.2,WP4.2_ Frozen stone fruit,WP4.2_2028,Catherine Carrillo,Catherine.Carrillo@inspection.gc.ca,Survey study [GENEPIO:0100582],Isolated from single source [GENEPIO:0100926],Canada [GAZ:00002560],      Ontario [GAZ:00002563],12/8/2022,day [UO:0000033],12/8/2022,Retail environment [ENVO:01001448],Microbiological characterization [GENEPIO:0100714]; Metagenomic sequencing [GENEPIO:0101024]; Colony count [GENEPIO:0100728],,,,Frozen at -20 degrees celsius,"Plastic bag, sack or pouch [FOODON:03490166]",8/30/2024,Suggestion: Cook thoroughly before consumption,Cook,10/12/2023,2024-16S-0347,
CFIA-AMR-2022-0007,Frozen Peaches,10,,ND,ND,,,,,178.48,NEG,ND,NEG,ND,NEG,ND,Canadian Food Inspection Agency (CFIA) [GENEPIO:0100552],Ottawa Laboratory (Carling)_R&D,GRDIAMR2_WP4.2,WP4.2_ Frozen stone fruit,WP4.2_2029,Catherine Carrillo,Catherine.Carrillo@inspection.gc.ca,Survey study [GENEPIO:0100582],Isolated from single source [GENEPIO:0100926],Canada [GAZ:00002560],      Ontario [GAZ:00002563],12/8/2022,day [UO:0000033],12/8/2022,Retail environment [ENVO:01001448],Microbiological characterization [GENEPIO:0100714]; Metagenomic sequencing [GENEPIO:0101024]; Colony count [GENEPIO:0100728],,,,Frozen at -20 degrees celsius,"Plastic bag, sack or pouch [FOODON:03490166]",11/8/2024,Coconut may be used immediately from frozen but the package also suggests a cooking recipe,Cook,6/5/2023,2024-16S-0416; 2024-16S-0422,Duplicate sequences
CFIA-AMR-2022-0008,Frozen Peaches,0,,0,0,,,,,7.94,NEG,ND,NEG,ND,NEG,ND,Canadian Food Inspection Agency (CFIA) [GENEPIO:0100552],Ottawa Laboratory (Carling)_R&D,GRDIAMR2_WP4.2,WP4.2_ Frozen stone fruit,WP4.2_2030,Catherine Carrillo,Catherine.Carrillo@inspection.gc.ca,Survey study [GENEPIO:0100582],Isolated from single source [GENEPIO:0100926],Canada [GAZ:00002560],      Ontario [GAZ:00002563],12/8/2022,day [UO:0000033],12/8/2022,Retail environment [ENVO:01001448],Microbiological characterization [GENEPIO:0100714]; Metagenomic sequencing [GENEPIO:0101024]; Colony count [GENEPIO:0100728],,,,Frozen at -20 degrees celsius,"Plastic bag, sack or pouch [FOODON:03490166]",10/11/2024,Thaw before serving + do not refreeze,RTE,8/10/2022,2024-16S-0201,
CFIA-AMR-2022-0009,Frozen Peaches,1,,60,8,,,,,155.35,NEG,ND,NEG,ND,NEG,ND,Canadian Food Inspection Agency (CFIA) [GENEPIO:0100552],Ottawa Laboratory (Carling)_R&D,GRDIAMR2_WP4.2,WP4.2_ Frozen stone fruit,WP4.2_2031,Catherine Carrillo,Catherine.Carrillo@inspection.gc.ca,Survey study [GENEPIO:0100582],Isolated from single source [GENEPIO:0100926],Canada [GAZ:00002560],      Ontario [GAZ:00002563],12/8/2022,day [UO:0000033],12/8/2022,Retail environment [ENVO:01001448],Microbiological characterization [GENEPIO:0100714]; Metagenomic sequencing [GENEPIO:0101024]; Colony count [GENEPIO:0100728],,,,Frozen at -20 degrees celsius,"Plastic bag, sack or pouch [FOODON:03490166]",11/21/2024,Cook thoroughly to 75°C before consumption,Cook,6/1/2023,2024-16S-0380,
CFIA-AMR-2022-0010,Frozen coconut-shredded,6300,,ND,1840000,,,,,190.53,POS,26.73,POS,22.47,NEG,ND,Canadian Food Inspection Agency (CFIA) [GENEPIO:0100552],Ottawa Laboratory (Carling)_R&D,GRDIAMR2_WP4.2,WP4.2_ Frozen stone fruit,WP4.2_2032,Catherine Carrillo,Catherine.Carrillo@inspection.gc.ca,Survey study [GENEPIO:0100582],Isolated from single source [GENEPIO:0100926],Canada [GAZ:00002560],      Ontario [GAZ:00002563],1/11/2023,day [UO:0000033],1/11/2023,Retail environment [ENVO:01001448],Microbiological characterization [GENEPIO:0100714]; Metagenomic sequencing [GENEPIO:0101024]; Colony count [GENEPIO:0100728],,coconut meat (frozen) [FOODON_00003857],"Ready-to-eat (RTE) [FOODON:03316636];sliced, thin, below 0.5 cm [FOODON:03430145];frozen [FOODON:03302148]",Frozen at -20 degrees celsius,"Plastic bag, sack or pouch [FOODON:03490166]",Missing [GENEPIO:0001618],Thaw before serving + do not refreeze,RTE,9/29/2023,2024-16S-0404,
